ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-16,33,24341,629,Employed,Associate,11,29634,24,Married,1,Rent,406,0.1347872979142219,3,1,0.2228027031100006,0,Home,0,18,20,11528,1853,13381,4321,2028.4166666666667,0.59766844166427,4,9060,,0.1718828136184628,1467.854410307238,0.92380152515044,0,71.0
2018-01-17,27,55419,591,Employed,Master,,18915,48,Divorced,3,Own,367,0.3773740552345764,,1,,0,Home,0,20,17,6234,459,15758,6749,4618.25,0.8768516340405386,4,9009,,0.2189419687095801,594.8515156138558,0.2082718596034982,0,73.0
2018-01-18,43,32363,549,Self-Employed,Associate,18,13447,96,,1,Rent,495,0.2876556466619663,6,,0.1832261716512139,0,Debt Consolidation,,22,16,,4373,238176,125428,2696.9166666666665,0.5811252154653407,3,112748,0.273947,0.2405551022246977,316.67068249758137,0.3009624629969711,0,74.0
2018-01-19,29,84056,491,Employed,Associate,,11778,48,Single,0,,319,0.3006969206272739,5,1,0.2113688558545757,0,Other,0,30,10,900,1285,78360,11420,7004.666666666667,,6,66940,0.261278,0.2715398224354793,404.8070149441447,0.1033321140588385,1,55.2
2018-01-20,23,35151,548,Employed,High School,0,13482,12,Married,4,Rent,232,0.2083123882032737,1,,0.1787115828856139,0,Auto,0,22,20,2626,972,38884,31768,,0.8388350232201228,,7116,0.204482,,1248.0428532173516,0.5052634132345657,0,72.0
2018-01-21,57,33427,620,Employed,High School,36,20440,36,Married,0,Other,289,0.2428101693686754,,1,,0,Home,,33,16,,184,96111,,2785.583333333333,0.90337451370374,,31439,0.19544,0.2104003112424902,,0.3803506939425356,0,71.0
2018-01-22,37,83701,571,Employed,Bachelor,18,40250,36,,1,,,,,1,0.2714022704997276,0,Home,0,24,9,2889,502,13755,39135,,,3,10469,0.23975,0.2206059902516753,1538.42785341822,0.3303799744449724,0,71.0
2018-01-23,40,59183,624,Employed,Bachelor,,20653,60,Married,1,Mortgage,314,0.2948809799065119,2,1,0.2544281620230731,0,Education,0,19,6,4857,1375,47617,18649,4931.916666666667,0.831282033424166,6,28968,0.213653,0.2116577339080255,,0.1773470135899696,0,73.0
2018-01-24,22,34648,524,Employed,High School,0,16646,84,Married,3,Rent,455,0.1511041909346027,3,0,,0,Education,0,27,16,1613,1746,9718,107829,2887.333333333333,0.7006843273742235,6,9295,0.279646,0.2237168,393.77742632451896,0.2939658599600042,0,70.0
2018-01-25,33,15000,532,Employed,Associate,11,23318,108,Single,0,Rent,,0.0923733003728026,3,1,0.2180832719334784,1,Debt Consolidation,,27,28,16270,3707,487133,7574,1250.0,0.8633427313767786,3,479559,0.302318,0.3227290814951842,664.9629865998676,0.671970389279894,0,85.0
2018-01-26,41,40978,427,Employed,Associate,19,50218,36,Divorced,2,Mortgage,231,0.295996152525512,4,0,0.4909545194714879,0,Auto,0,20,16,1870,807,310674,,3414.833333333333,0.7153219683870666,4,295818,0.3217179999999999,0.3285354378350681,2211.074869777549,0.7151373526607102,0,75.0
2018-01-27,26,58159,593,Self-Employed,Doctorate,1,15102,84,Married,1,,685,0.278807344003216,,2,0.3319914869017372,0,Home,0,,3,,540,415682,35837,4846.583333333333,0.8450324737256293,5,379845,0.243602,0.2342407857617086,367.17320910595794,0.2170958666633108,1,65.60000000000001
2018-01-28,44,99730,451,Self-Employed,Master,21,27696,24,Married,3,Mortgage,503,0.2304125918423482,4,2,,0,Home,1,22,25,2274,158,192741,8229,,0.6352913522757143,4,184512,0.277196,0.3288575352210953,1589.998611014415,0.2518398007838461,0,84.0
2018-01-29,32,30976,610,Employed,Associate,,18373,60,Married,3,,432,0.0885893770596544,2,0,0.3429510840234338,0,Home,0,22,20,23823,,24623,15941,2581.333333333333,0.7221947514900279,3,8682,0.2183729999999999,0.2145596541128143,501.7754961276008,0.3617415403386883,0,72.0
2018-01-30,36,174873,553,Unemployed,Master,12,24355,36,Married,0,Own,211,0.3053363100882175,,1,0.163003125887873,0,Home,0,22,16,,,93192,4745,14572.75,0.7900987627888821,9,,0.232855,0.2370124775796932,951.6999404943184,,1,56.0
2018-01-31,32,63528,622,Unemployed,Associate,9,30313,24,Single,2,Own,440,0.1077278610591902,2,1,0.1169749349426397,0,Home,0,28,25,681,891,23416,22265,,,5,,0.194313,0.2002164141795402,1543.1249602731775,0.3745985946870377,0,70.0
2018-02-01,62,,592,Employed,Bachelor,44,43785,36,Married,1,Own,426,0.5835608389618087,1,1,0.1745243770151292,,Home,1,20,6,,1453,52024,12810,1871.9166666666667,0.6217857050289993,1,39214,0.232785,0.2370275062711806,1710.9842550038222,,0,88.0
2018-02-02,39,40869,605,Self-Employed,Doctorate,16,21425,36,Married,2,Other,410,0.1920783359078521,1,3,0.3580395060555027,0,,1,,6,2391,,,135935,3405.75,0.8271096012110121,4,,0.203925,,,0.3610479741971517,0,90.0
2018-02-03,27,,575,Employed,Associate,4,38832,60,,3,Mortgage,273,0.0467778194232353,1,0,0.1261420952801214,0,Debt Consolidation,,21,26,4723,398,150889,59275,,0.6053196827431166,6,91614,0.256332,0.2784080296798862,1205.339455629301,0.1872066172891202,0,64.0
2018-02-04,49,,532,Employed,Bachelor,26,26974,120,Married,,Rent,579,,,0,0.5543476378738881,,Home,0,30,14,882,883,58959,13402,9185.333333333334,0.8331861240924388,4,,0.315974,,682.2840170481134,,0,78.0
2018-02-05,25,39037,526,Employed,High School,1,11519,12,Divorced,0,Own,,0.3053930219471552,3,0,0.2686364271476427,0,Debt Consolidation,0,28,23,5147,3480,43616,3475,3253.083333333333,0.9752378968628298,4,40141,0.213519,0.2174860432337126,1076.7204588049658,0.4145975742413502,0,75.0
2018-02-06,42,43234,544,Self-Employed,High School,21,19972,72,Married,2,Mortgage,355,0.0857497681377261,4,0,,0,Debt Consolidation,1,21,13,4775,704,34022,40341,,0.6696828327163097,12,9564,0.262972,,,0.2508248635657347,0,87.0
2018-02-07,18,22914,541,Employed,,,70419,48,Married,,Own,144,0.3480017571440438,2,0,0.2051520360090006,0,Education,0,20,18,1885,244,16624,,1909.5,0.8399471035527267,6,2884,0.294919,0.3001188138997894,2535.9927218366925,1.40350496037533,0,77.0
2018-02-08,24,112281,504,Employed,Doctorate,5,20802,24,,2,,392,0.3141454534659461,4,1,0.3740614928655603,0,Home,0,21,,2312,1055,61546,45272,9356.75,,5,16274,0.243802,0.2330167938477002,1092.5876412846212,,1,59.2
2018-02-09,42,24718,612,Unemployed,,19,18820,36,,3,Rent,225,0.2617625081340248,0,0,,0,Education,,22,28,,657,32128,9298,2059.833333333333,0.703896893241327,,22830,0.19782,0.2173116984073081,716.1295975583224,0.4568959936362112,0,85.0
2018-02-10,48,94775,604,Employed,Master,22,18796,48,Divorced,1,Rent,441,0.5044459306440976,3,2,0.4704543149565094,0,Debt Consolidation,,,6,6825,,163253,,7897.916666666667,0.6222670769730227,7,,0.211796,0.2537458677622313,627.1547366379955,0.1352451262427427,0,77.0
2018-02-11,42,,643,Employed,Master,21,17452,60,Married,1,Rent,412,0.4594710629942553,3,5,0.2142155830229062,,Debt Consolidation,,35,4,1267,925,9253,,9546.416666666666,0.9873166459543358,2,5566,0.200952,0.2043515656694681,466.607008846538,0.0920352672133388,1,60.0
2018-02-12,38,42899,563,Unemployed,High School,17,11068,36,Married,1,Other,403,0.2713512539934177,,2,0.2506234148244263,0,Education,0,32,10,1380,3382,10243,53686,3574.9166666666665,,3,7251,0.2145679999999999,,404.83102500735015,0.2259719876940768,0,81.0
2018-02-13,36,84882,576,Self-Employed,Associate,15,6981,60,Divorced,0,Rent,224,0.2225740826154682,2,0,0.3382578110160439,0,Debt Consolidation,0,22,,,1362,47969,7752,7073.5,0.8212971619713112,8,40217,,0.2141321620688717,190.48581690001728,0.0585969911500695,1,64.0
2018-02-14,22,,391,Employed,Bachelor,,14961,36,,3,,193,0.6707541383400907,2,0,0.0367770656355333,0,Home,0,18,16,9750,390,25967,97943,8463.25,0.8655811263145062,4,10737,0.304461,0.2761823109549736,615.7589933047918,0.0955612788591607,1,57.6
2018-02-15,31,63009,590,Employed,Bachelor,11,18476,72,Widowed,,Mortgage,390,0.1887256918951921,7,1,0.1754014582036227,0,Home,0,32,6,,,94433,84238,5250.75,0.808382763806657,6,10195,0.238476,0.2284364763906289,473.527363061747,0.1644579085010231,0,72.0
2018-02-16,34,39246,487,Employed,,11,29006,36,Married,1,Other,170,0.4758808788274229,5,1,0.3523576410744563,,,0,17,15,1170,863,45345,,3270.5,0.8683408237921211,5,,0.270506,,1260.572972757272,0.437417206163361,0,80.0
2018-02-17,52,50924,559,Self-Employed,Doctorate,28,18306,72,Widowed,3,,748,0.4669628454306397,3,,0.3316309771187693,0,Auto,0,31,,14230,523,92914,48639,4243.666666666667,0.9081610382009588,8,44275,0.253806,,502.8713063577444,,0,84.0
2018-02-18,44,26753,569,Employed,Bachelor,20,23467,36,Single,0,Mortgage,464,0.5874009438038718,2,0,0.3720731253095286,0,Education,0,18,11,15876,1188,144107,93220,2229.4166666666665,0.7363485792917311,,50887,0.223967,,867.9336730009554,0.5974359539495184,0,80.0
2018-02-19,18,27358,583,Employed,,0,12198,48,,0,Rent,614,0.1720011384490641,3,0,0.1245012553339545,0,Home,0,17,4,964,1952,137715,37826,2279.833333333333,0.978570446898834,6,99889,0.215698,0.2129491813643871,379.6571431059284,0.4358463965666766,0,76.0
2018-02-20,43,72794,632,Employed,Bachelor,19,9345,72,Single,4,Mortgage,651,0.4584865310831823,2,,0.269116667648887,0,Home,,14,22,958,421,,17663,6066.166666666667,0.6212006521454916,1,46657,0.208345,0.1964396430978516,221.91475411939376,,1,56.8
2018-02-21,35,38809,528,Employed,High School,11,26208,24,Widowed,4,Rent,475,0.4572392628474268,7,1,0.3008611705114828,0,Home,0,22,5,3464,1175,,45802,3234.083333333333,0.6494474368318892,2,35292,0.237208,0.2073636768571248,1343.3238801912016,0.5622377943851792,0,84.0
2018-02-22,31,,522,Employed,Associate,7,30500,36,Divorced,3,,387,,1,2,0.1839488805656866,0,,0,25,18,729,3585,135426,,,,6,113175,0.2545,0.2429596011951535,1201.34669744635,0.4273386926450876,0,66.0
2018-02-23,47,28323,594,Employed,Master,24,35990,108,,0,Rent,,0.3429379193095418,1,0,0.2455283217142855,0,Debt Consolidation,0,,13,5601,1029,520006,,2360.25,0.8727511325849453,2,505804,0.2839899999999999,,862.8206142526681,0.5269868082841512,0,69.0
2018-02-24,52,53259,566,Employed,Master,29,40222,36,Divorced,3,Mortgage,,0.262910850157517,0,1,0.3333902987192386,0,,0,11,19,8252,17663,110628,5469,4438.25,0.8112283810045723,,105159,0.242222,0.2071294517519649,1509.4449128633426,,0,72.0
2018-02-25,51,95621,530,Employed,Associate,,42586,84,Divorced,4,Own,305,0.1998871399835004,1,,0.2312555303853908,0,Home,0,17,10,1014,,404507,34217,7968.416666666667,0.810199440350636,1,370290,0.302586,0.3475654349093046,,0.208539529578018,0,63.0
2018-02-26,29,23514,554,Employed,Bachelor,3,31057,48,Single,,Mortgage,375,0.3397160011559758,1,2,0.079868209405267,0,Auto,,33,13,1387,102,44548,13275,,0.7880604243050309,7,31273,0.249057,0.2502435859831252,1030.182911314509,,0,74.0
2018-02-27,36,58677,626,Employed,Bachelor,15,16559,24,Married,1,Rent,249,0.4381243204026535,3,4,0.4877188510084333,0,Other,0,25,26,3809,2358,47841,59455,4889.75,0.7156486005576563,3,9649,0.178559,0.1725860376533818,820.7735301682085,0.218778778090538,1,61.6
2018-02-28,43,15685,522,Employed,,18,25373,48,Single,0,Rent,295,0.2938416557751581,1,0,0.14233526173029,,Home,0,19,18,5819,416,41646,15076,1307.0833333333333,0.8431104067646829,5,26570,0.259373,0.2708573401925438,871.0802932987917,0.8921239094412178,0,74.0
2018-03-01,51,22294,570,Employed,High School,,18753,60,Married,1,Mortgage,322,0.6399272095337339,3,,0.2828314820223646,0,Auto,0,29,17,1917,454,191724,82195,,0.5850698434174428,5,109529,0.238753,0.2312900164420754,530.04673610648,0.4586238823574845,0,77.0
2018-03-02,34,78629,556,Employed,Bachelor,,19634,36,Married,0,Rent,369,0.0845248120626806,5,,0.1986650761798483,0,Education,0,,23,1305,1627,,16272,6552.416666666667,0.7406392201065807,4,25267,0.2266339999999999,0.1986429736981607,,,1,54.400000000000006
2018-03-03,37,37602,547,Unemployed,Bachelor,18,26792,72,,1,Mortgage,374,0.0998744895326944,6,0,0.5015925310200668,,Education,,16,4,,1372,41195,105091,3133.5,0.7174019465441848,8,1680,0.268292,,716.9528590508983,0.3481579253393643,0,102.0
2018-03-04,26,86566,528,Employed,High School,4,41477,24,Married,0,Rent,424,0.4662734181903082,,1,0.1370640938401955,0,Auto,0,26,26,3128,243,215188,,7213.833333333333,0.7547963884956015,6,210467,,0.2367274593577188,,0.3618278341081286,0,66.0
2018-03-05,25,49115,568,Unemployed,High School,,32218,24,Single,2,Mortgage,466,0.213173957413612,5,2,0.0964535431543141,0,Home,0,28,,10465,1404,,15929,,0.6503150865298075,1,2005,0.2232179999999999,0.2310583209234038,1689.0564718159744,0.5265331907114261,0,78.0
2018-03-06,49,54454,568,Employed,High School,,21936,60,,1,Mortgage,434,0.3111142554990835,4,1,0.346787045385623,0,Education,0,24,25,5223,2207,67336,9290,4537.833333333333,0.7272642241668648,4,58046,0.2429359999999999,0.2645457205015702,662.6903253917884,0.2416770834961887,0,74.0
2018-03-07,56,29475,659,Employed,Associate,36,23138,72,Single,1,Mortgage,853,0.4721585399360232,,1,,0,Debt Consolidation,0,21,23,3860,,222418,47871,2456.25,0.80621512434981,3,174547,0.208638,0.2168097272999098,,0.5821861993749917,0,67.0
2018-03-08,39,41069,631,Employed,Bachelor,,26374,60,Single,1,,393,0.3781969739373207,,0,0.1805796599330194,0,Home,,20,20,4809,2932,49666,50138,3422.4166666666665,0.9152361552590236,9,10602,0.215874,0.2590488,,0.3451261341190866,0,68.0
2018-03-09,52,30796,589,Employed,High School,,39701,12,,3,Mortgage,415,,2,1,0.0225971612168215,0,Education,0,28,9,1133,4745,,,2566.333333333333,0.7399092597096973,7,127350,0.210201,0.2085488295727867,3693.945433094816,1.601095765590914,0,70.0
2018-03-10,44,20745,552,Employed,High School,21,55721,48,Single,1,Rent,,0.3146020566781832,5,0,0.680455142262584,0,Home,0,33,14,2736,1695,20634,,1728.75,0.5052070211444647,7,7297,0.274721,0.2221989085814218,1762.2087507526653,1.3467584964585193,0,86.0
2018-03-11,32,87688,475,Self-Employed,Master,13,23504,60,Divorced,0,Rent,225,0.2030396972556244,6,1,0.32245618316723,0,Debt Consolidation,0,33,5,3817,360,32775,36203,7307.333333333333,,1,4294,0.291004,0.2973627044014046,756.6311620209248,0.1343350737187653,0,84.0
2018-03-12,44,,475,Employed,High School,24,19895,36,,2,Mortgage,361,,2,0,0.4731428440733914,,Home,,20,,752,335,184605,9227,6603.083333333333,0.78911938424016,4,,,,804.7719212288379,0.1765496302831512,1,60.0
2018-03-13,58,60416,645,Employed,,,23834,60,Married,2,,485,0.1066432540139431,,,0.3502363102461353,0,Auto,0,24,6,9599,382,838527,94348,5034.666666666667,0.9469543364944542,3,744179,,0.2217121762547046,660.5914567481333,0.227540675996054,1,52.8
2018-03-14,39,44053,651,Employed,Doctorate,18,36892,48,Married,1,,505,0.59735278917162,6,,0.3399516616980244,0,Other,,17,19,1349,,102697,42177,3671.0833333333335,0.8114486998318653,3,60520,0.206392,0.2220697348028229,1166.4715452746293,0.4553074374797528,0,70.0
2018-03-15,58,69191,643,Employed,Bachelor,,28581,108,,5,Own,323,0.2300892846391851,3,0,0.5683019505571189,0,Education,,,,2483,590,,,5765.916666666667,0.8859999174798808,4,2148,,0.2041267783293608,579.9942175662634,0.1566089608590013,0,84.0
2018-03-16,18,15000,543,Employed,Bachelor,0,17059,48,Divorced,,Mortgage,457,0.2394759938303966,2,2,0.0899072394877049,0,Home,0,22,9,12415,,13333,183799,1250.0,0.743978155046402,7,5509,0.240559,,539.9499727295334,0.7975599781836268,0,76.0
2018-03-17,49,102067,464,Employed,Associate,25,22163,72,Divorced,,Rent,,0.4423285910060725,6,3,0.50480574028469,0,,0,19,18,8020,,73846,251004,8505.583333333334,0.8489261027854583,4,1982,0.3051629999999999,0.3154494526662365,688.9838601765372,0.105105531877281,0,82.0
2018-03-18,41,,557,Employed,,16,22203,36,Single,0,Mortgage,685,0.1789598775770337,5,2,,1,Debt Consolidation,1,24,9,8649,1789,,12304,1367.9166666666667,0.948355305745989,1,51902,0.228703,0.2407951962505068,872.0143205845721,1.1382377000922854,0,102.0
2018-03-19,36,28811,565,Self-Employed,Bachelor,14,15940,60,Single,0,,514,0.2881310214444488,4,,,,Debt Consolidation,0,19,19,1234,,9337,24719,2400.9166666666665,,9,3600,,0.2274012060985724,446.97929316391446,0.4002551635822073,0,80.0
2018-03-20,41,62094,603,Employed,Bachelor,20,15846,36,,2,,400,0.2898168215479779,4,0,0.3493618442859932,0,Debt Consolidation,1,21,1,2451,694,11194,1599,,0.9002548690906418,,9595,0.199346,,583.3009683884205,0.190028209177393,0,88.0
2018-03-21,18,44083,553,Employed,High School,0,12034,36,Divorced,4,Own,460,0.339285310393097,4,2,0.1582322519519173,0,Home,0,27,,3112,1403,23016,8674,3673.5833333333335,0.8482267278606926,6,14342,0.2205339999999999,0.2190151401229783,458.9710103665894,0.2501565711135601,0,72.0
2018-03-22,37,45593,586,Employed,Associate,13,20460,36,Married,1,Rent,285,,3,1,0.1644399374538837,0,Home,1,23,8,11266,,36270,,3799.4166666666665,,6,12764,,,786.4426037415584,0.2820018696926875,0,84.0
2018-03-23,44,33282,625,Employed,Master,22,38776,60,Married,0,Mortgage,777,0.5958621037635864,5,2,0.2148049765898955,0,Other,0,,12,1349,704,138120,6787,2773.5,0.8841894376606663,2,131333,0.231276,0.2461652384247958,1129.425889045981,0.6873718727405737,0,69.0
2018-03-24,57,92331,594,Employed,High School,32,36659,48,Married,1,Rent,966,0.3518384539565283,2,,0.0971264366228811,0,Home,0,20,,5587,1395,216998,7611,,0.794683724307306,,209387,,0.2599084503453084,,0.2861687549383487,0,64.0
2018-03-25,33,16806,571,Employed,Associate,11,21739,48,,4,Other,183,0.4367717932001911,3,1,0.3116618254409229,,Home,0,28,,,705,127161,28669,1400.5,0.7193717115126252,,98492,0.231239,,706.5403806426609,,0,80.0
2018-03-26,30,16128,578,Unemployed,Associate,7,53733,24,Single,2,Mortgage,558,0.0935872581354699,3,2,,0,Auto,0,,4,4464,665,138054,20625,,0.7639240298139085,10,117429,0.239733,0.2337518535554368,2824.193638717292,2.516513124045604,0,83.0
2018-03-27,33,47955,595,Employed,Master,10,21432,60,Single,3,Mortgage,583,0.2871506093136976,4,1,0.0363317924371012,0,Auto,0,,9,1361,364,191506,48611,3996.25,,1,142895,0.228932,0.24217272946711,619.2608727723785,0.30084726250169,0,70.0
2018-03-28,50,29806,676,Employed,Master,29,18576,60,Married,3,Mortgage,509,0.1238769059733694,3,0,,0,Home,0,35,5,,,265812,11245,2483.833333333333,0.7004901650824775,3,254567,0.185576,0.157482220482417,,0.385795184497798,1,52.0
2018-03-29,43,,595,Employed,Bachelor,20,8195,36,Divorced,,Mortgage,255,0.3134080131467728,3,1,0.3379340579135882,0,Education,1,,24,2761,,197162,42767,6279.0,0.6937856257788326,5,154395,0.195695,0.2085935394886574,,0.0896887573342654,1,64.0
2018-03-30,33,19957,514,Self-Employed,,,24333,60,,1,Mortgage,305,0.5999148362431191,1,,0.293135456949107,0,Auto,0,15,14,1610,2801,16534,136060,1663.0833333333333,0.9140089536442574,9,8255,0.272333,0.3156945825288866,810.8730811876788,0.6709664265296461,0,85.0
2018-03-31,46,,570,Employed,High School,,14075,84,,0,Own,132,0.2801174592820535,,1,0.4133687616722563,0,Auto,0,23,23,1530,359,236478,2541,9630.416666666666,0.7088693634046926,5,233937,0.254075,0.2821473708754091,385.6900773290828,,1,58.400000000000006
2018-04-01,41,87039,533,Employed,Associate,18,45526,36,,0,Mortgage,230,0.6212822117834467,2,1,0.0230816759712574,0,Home,0,31,18,1092,887,54329,23916,7253.25,0.8273987795591178,4,30413,,0.3168312,1974.8582350208344,,0,72.0
2018-04-02,51,112611,628,Self-Employed,Bachelor,,11829,60,,1,Rent,1026,,4,0,0.3425792205600553,0,Debt Consolidation,0,24,2,7585,743,36959,43196,,,3,9116,0.202829,0.2433948,342.6311301641616,0.1458434217080919,0,84.0
2018-04-03,31,154630,599,Employed,Bachelor,8,41920,72,Married,0,,198,0.0423774439153484,3,1,,0,Auto,0,27,4,1051,370,47522,44426,12885.833333333334,,8,3096,0.25742,0.2818871663758576,1212.5901517775362,0.10946829089653,0,73.0
2018-04-04,36,55555,587,Employed,Doctorate,,24401,48,,0,Other,752,0.3870225545875993,3,1,,0,Education,1,24,1,6980,1902,50860,33793,4629.583333333333,0.9514422682902084,6,17067,0.225901,0.2421133095882007,798.3708719458978,0.3348834571748857,0,95.0
2018-04-05,35,21195,558,Employed,Associate,11,12400,36,Widowed,0,Other,500,0.2959727988644975,4,1,,,Home,0,20,5,1764,1567,150588,9859,1766.25,,,140729,0.2183999999999999,0.1934966173789098,,0.5416729241933909,0,74.0
2018-04-06,22,45816,405,Employed,Bachelor,0,9598,12,Married,2,Other,341,0.2646876187746179,5,,0.5421651047505077,0,Auto,0,13,17,4239,818,19308,,,0.8505630241575824,8,,0.272098,0.2659826943083806,919.694699291714,0.3301976687511038,0,84.0
2018-04-07,43,41102,602,Employed,,20,26505,60,Single,0,Mortgage,384,0.3761220938224114,2,3,0.1974412783385084,0,Home,0,27,28,6439,467,257520,20334,3425.1666666666665,0.9810688682545688,5,237186,0.230505,0.238586226813364,760.3214658849239,0.3340921996647142,0,64.0
2018-04-08,43,26769,514,Employed,High School,20,13898,48,Widowed,3,,709,0.4292679911113365,1,3,0.3884613628241975,0,Debt Consolidation,,17,6,8950,435,202143,28704,2230.75,0.7273894724148787,3,173439,0.251898,0.2650574910836478,472.5662350016196,0.5296721887264909,0,82.0
2018-04-09,40,52117,541,Employed,Associate,20,8221,36,,,,222,,7,0,,0,Auto,0,23,,,2126,96896,29207,4343.083333333333,0.6196039320776491,4,67689,0.222721,0.2287398278719437,317.69291324446715,0.124264922365708,1,56.8
2018-04-10,37,44691,597,Employed,Bachelor,14,59260,12,Single,5,Own,326,0.5008832355197103,3,1,0.2803901317077077,,Home,1,19,12,,3776,25120,12101,3724.25,0.6244845715710292,8,13019,0.22576,0.2501565205193227,5632.769604145354,,0,85.0
